latitude;longitude
43.37606382;2.898069916
43.55072569;6.191973847
43.35704073;2.592320122
43.49537279;5.140361844
43.49812615;5.128419488
43.32219513;2.372515739
43.3681561;2.906778628
43.35423858;2.772704977
43.35633335;2.73229255
39.89264304;-4.665973824
39.86462272;-4.654909196
43.54906308;6.232218823
43.37291846;2.936833894
39.69340252;-1.356833452
43.53728252;6.145627618
41.0522578;9.348468556
43.48884303;5.716676949
39.71458545;-1.204773191
41.04352233;9.246340472
39.60488971;-2.11610172
41.07822968;9.030153888
39.71163319;-1.326473374
41.07536156;9.036503182
39.70591965;-1.319060566
39.70681929;-1.446079355
39.73033113;-1.238172163
43.50889049;6.233193663
41.50847279;9.092336563
41.50640673;9.130598861
41.52670361;9.077539849
43.51166368;6.096625034
41.52026416;9.112448297
43.50191152;5.969622989
43.53327476;6.906504947
43.35763169;3.600410202
43.47972522;5.86814523
43.32995923;2.864035903
43.50600514;5.997832787
43.47934859;6.144397486
43.51782821;6.369051866
43.49878277;6.218893064
43.50022747;6.295186524
41.65838263;9.005914735
41.64458054;8.936237598
43.2959289;2.49110009
41.68408706;9.319555693
43.50132384;6.56099125
41.6825587;9.337834826
43.48003482;5.629579026
41.70327952;8.955612529
43.5098567;6.607591609
42.21056662;-1.823803649
41.67523643;12.52771138
43.4989513;6.255818549
41.76310266;8.858714659
43.51385758;6.425958983
41.70724216;9.352088832
43.49852037;6.000113216
43.47130307;5.954415022
43.51695148;6.07011144
43.5039622;5.759654682
42.22259439;-1.937108229
43.51297122;5.971509348
42.18746826;-2.048804743
42.18928576;-2.032531684
41.75793345;12.56875453
42.23530476;-1.70030432
41.7704321;8.902503238
42.22598865;-1.776567704
42.25101863;-1.653544469
42.20559659;-2.015573495
42.21218431;-2.02283286
42.23664053;-1.803965701
41.53086703;9.141939266
43.5263066;6.324887372
41.55445202;8.900301486
43.49607814;5.635155165
41.53807941;8.970690399
43.50831552;5.795156601
41.56983622;8.991073544
43.33183731;2.65442212
41.56224487;8.880055703
43.34917117;2.905844411
41.5827789;8.99955392
43.52778038;6.274293361
41.57932645;8.89087374
43.50696569;5.64955757
42.20332389;-1.79721703
43.30270837;2.381533268
48.8521671;3.603406356
42.20369356;-1.830799296
43.50640669;6.183262629
48.86429584;3.841822732
42.16191489;-1.925344801
42.14307326;-2.029813098
41.63173379;9.259151637
42.20732897;-1.596377348
41.59165352;12.57992768
42.18738612;-1.742905479
42.16964381;-1.828768512
41.60633953;12.56054547
42.20295753;-1.685074508
42.20778411;-1.733553758
42.18827076;-1.828761992
43.51497002;6.086687008
43.52258036;6.426463481
43.52257785;6.349563087
43.30712782;2.398684048
43.49400837;5.544154878
43.5191265;6.289154779
43.49042782;5.814305511
43.52369898;6.569191612
39.44543648;2.790133465
37.45672876;13.30672151
37.43066857;13.90538843
37.39663674;13.85033689
37.40921754;13.79637952
37.42426733;13.326135
37.38870434;13.92587057
37.41370846;13.82726453
37.4190568;13.83585445
37.39601754;14.54654406
37.4313956;13.78193954
45.85569591;-0.413782202
45.86068834;-0.346220761
45.83954232;-0.494881222
45.84568165;-0.451104205
45.86952102;-0.33254549
45.85013368;-0.390824652
45.87717986;-0.189883445
45.91219883;0.103089236
37.34715723;13.48524079
37.33407546;13.75208559
37.36746505;13.34462603
37.33899215;14.0886635
37.34794097;13.77988003
37.34577981;13.80306929
37.31242139;14.32795772
37.331064;13.87336234
37.33462303;13.89760231
37.27145855;15.15637273
37.3204471;13.90271691
37.30893126;13.91064479
37.32111215;13.92558833
37.27315326;14.89366864
37.33481151;13.81427908
37.32415895;13.91086857
37.32145593;13.83546055
37.31701435;13.76826342
37.29312694;14.38945669
37.29664763;14.12796506
37.38904801;13.95849449
37.41210807;13.41949485
37.42100228;13.39942535
37.351391;14.93091328
37.36995002;13.88235985
37.38296361;13.78540533
37.37790966;13.98760272
37.38295661;13.79882058
37.40405099;13.43328438
37.40584403;13.29253288
37.36880659;13.73301246
37.37239006;13.69195962
37.38588513;13.6850771
37.33114277;14.68562318
37.33281992;14.79357436
37.35161667;13.93825596
37.35300348;13.89674698
37.37051942;13.44989103
37.36558815;13.74691245
37.35007941;13.96193329
37.25074524;14.08789522
37.251043;14.12024176
37.24741552;14.17491571
45.82470702;-0.553180428
37.25427505;14.07034383
37.25705054;14.13119869
45.85699374;-0.22092105
37.24948113;13.8755818
50.47843828;7.34827918
45.85040011;-0.289611389
37.2770551;13.84657689
50.46274262;7.370412368
45.86271594;-0.249415117
37.26253506;14.07696181
50.54971585;7.178399081
45.87133677;-0.109445888
50.5442893;7.199087882
45.85025846;-0.379478839
45.84663081;-0.36637972
37.258125;14.34637984
37.26285514;14.16461255
45.84758906;-0.43349964
45.85875035;-0.264820441
45.84862728;-0.482045875
37.24998448;13.70959414
37.23350625;14.12663746
37.24165578;13.99924121
37.24526436;13.92283461
45.80220929;-0.309856685
37.24280215;13.94893991
45.86403395;-0.06135943
37.25084123;13.9069119
45.85991016;-0.091042734
37.20773716;14.85072073
45.84859967;-0.23903668
45.83965594;-0.303659179
45.84091485;-0.341938956
47.37135706;22.24776692
37.25847611;13.64689662
47.28355426;22.95972584
37.24709928;13.76582787
47.30610899;22.81511354
45.83999911;-0.328991208
37.23909205;14.15824764
45.82737692;-0.418089664
45.82239227;-0.464379224
45.83567572;-0.434928541
47.32768089;22.63218893
37.29623798;13.95901749
47.29568849;22.86852108
37.30656772;13.81850324
47.72406565;18.64145364
37.30683767;13.77808835
47.28580057;22.98509096
